file,flake8_issues,bandit_issues,top_flake8_codes,top_bandit_codes
".\Altaakhi Workshop\Altaakhi Workshop\clean_project.py",0,2,"","B110:2"
".\Altaakhi Workshop\Altaakhi Workshop\clean_temp_files.py",0,2,"","B110:2"
".\Altaakhi Workshop\Altaakhi Workshop\workshop\settings.py",0,1,"","B105:1"
".\Altaakhi Workshop\clean_project.py",0,2,"","B110:2"
".\Altaakhi Workshop\clean_temp_files.py",0,2,"","B110:2"
".\Altaakhi Workshop\project_full_check.py",0,3,"","B603:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\AvifImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\BlpImagePlugin.py",0,8,"","B101:8"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\BmpImagePlugin.py",0,17,"","B101:17"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\BufrStubImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\CurImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\DcxImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\DdsImagePlugin.py",0,6,"","B101:6"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\EpsImagePlugin.py",0,9,"","B101:4;B603:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\FitsImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\FliImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\FpxImagePlugin.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\FtexImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GbrImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GdImageFile.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GifImagePlugin.py",0,20,"","B101:15;B603:3;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GimpGradientFile.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\GribStubImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\Hdf5StubImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\IcnsImagePlugin.py",0,3,"","B101:1;B606:1;B607:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\IcoImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\Image.py",0,17,"","B101:15;B405:1;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageColor.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageDraw.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageFile.py",0,10,"","B101:10"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageFont.py",0,1,"","B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageGrab.py",0,8,"","B603:5;B607:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageMorph.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageOps.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImagePalette.py",0,2,"","B101:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageQt.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageShow.py",0,12,"","B603:7;B607:4;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageText.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageTk.py",0,2,"","B110:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImageWin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\ImtImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\IptcImagePlugin.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\Jpeg2KImagePlugin.py",0,17,"","B101:17"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\JpegImagePlugin.py",0,13,"","B101:9;B404:1;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\McIdasImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\MicImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\MpegImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\MpoImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\MspImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PcdImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PcxImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PdfImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PdfParser.py",0,23,"","B101:23"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PixarImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PngImagePlugin.py",0,29,"","B101:28;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PpmImagePlugin.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\PsdImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\QoiImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\SgiImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\SpiderImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\SunImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\TgaImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\TiffImagePlugin.py",0,11,"","B101:10;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\WalImageFile.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\WebPImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\WmfImagePlugin.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\XVThumbImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\XbmImagePlugin.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\PIL\XpmImagePlugin.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\django\apps\config.py",0,2,"","B110:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\conf\global_settings.py",0,2,"","B105:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\conf\locale\ar\formats.py",0,1,"","B613:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\conf\locale\ckb\formats.py",0,1,"","B613:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\conf\locale\fa\formats.py",0,1,"","B613:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\admin\helpers.py",0,6,"","B703:3;B308:3"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\admin\options.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py",0,9,"","B308:5;B703:4"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\admindocs\utils.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\auth\forms.py",0,3,"","B107:3"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\auth\hashers.py",0,9,"","B101:7;B105:1;B324:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\auth\management\commands\createsuperuser.py",0,1,"","B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\auth\views.py",0,2,"","B105:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\flatpages\views.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\gis\db\backends\postgis\operations.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\humanize\templatetags\humanize.py",0,2,"","B703:1;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\messages\storage\cookie.py",0,2,"","B703:1;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\sessions\backends\base.py",0,1,"","B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\contrib\staticfiles\storage.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\cache\backends\db.py",0,13,"","B608:11;B403:1;B301:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\cache\backends\filebased.py",0,5,"","B301:3;B403:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\cache\backends\locmem.py",0,3,"","B301:2;B403:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\cache\backends\redis.py",0,3,"","B403:1;B301:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\checks\security\base.py",0,1,"","B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\handlers\asgi.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\management\commands\dbshell.py",0,1,"","B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\management\commands\runserver.py",0,1,"","B104:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\management\commands\shell.py",0,3,"","B102:3"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\management\utils.py",0,4,"","B404:2;B603:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\core\serializers\xml_serializer.py",0,4,"","B406:2;B408:1;B319:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\base\client.py",0,2,"","B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\base\operations.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\mysql\base.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\mysql\creation.py",0,3,"","B603:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\mysql\introspection.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\mysql\schema.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\base.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\creation.py",0,1,"","B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\introspection.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\operations.py",0,2,"","B608:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\oracle\schema.py",0,2,"","B608:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\postgresql\introspection.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\postgresql\operations.py",0,2,"","B608:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\_functions.py",0,2,"","B324:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\base.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\introspection.py",0,1,"","B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\operations.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\backends\sqlite3\schema.py",0,2,"","B608:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\migrations\autodetector.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\migrations\graph.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\migrations\questioner.py",0,1,"","B307:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\migrations\state.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\base.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\expressions.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\fields\__init__.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\fields\related.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\fields\related_descriptors.py",0,1,"","B610:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\functions\datetime.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\functions\text.py",0,1,"","B608:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\query.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\sql\compiler.py",0,12,"","B611:5;B608:5;B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\sql\query.py",0,3,"","B101:2;B611:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\sql\where.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\db\models\utils.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\forms\utils.py",0,2,"","B703:1;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\forms\widgets.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\http\multipartparser.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\http\response.py",0,2,"","B110:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\middleware\csrf.py",0,6,"","B105:5;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\base.py",0,10,"","B703:5;B308:4;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\defaultfilters.py",0,27,"","B703:13;B308:13;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\defaulttags.py",0,5,"","B703:2;B308:2;B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\loader_tags.py",0,2,"","B703:1;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\loaders\cached.py",0,1,"","B324:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\template\smartif.py",0,4,"","B105:4"
".\Altaakhi Workshop\venv\Lib\site-packages\django\templatetags\i18n.py",0,3,"","B703:2;B308:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\client.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\runner.py",0,4,"","B403:1;B301:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\selenium.py",0,1,"","B104:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\testcases.py",0,2,"","B403:1;B301:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\test\utils.py",0,5,"","B101:2;B318:2;B408:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\urls\resolvers.py",0,1,"","B403:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\autoreload.py",0,3,"","B404:1;B603:1;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\html.py",0,19,"","B703:10;B308:9"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\http.py",0,1,"","B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\lorem_ipsum.py",0,6,"","B311:6"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\numberformat.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\regex_helper.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\translation\trans_real.py",0,4,"","B703:2;B308:2"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\version.py",0,5,"","B101:2;B404:1;B607:1"
".\Altaakhi Workshop\venv\Lib\site-packages\django\utils\xmlutils.py",0,1,"","B406:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\__pip-runner__.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\build_env.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cache.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\base_command.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\command_context.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\index_command.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\main_parser.py",0,2,"","B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\parser.py",0,7,"","B101:7"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\progress_bars.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\req_command.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\cli\spinners.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\completion.py",0,1,"","B604:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\configuration.py",0,2,"","B404:1;B602:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\debug.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\download.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\install.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\search.py",0,2,"","B411:1;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\commands\wheel.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\configuration.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\distributions\installed.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\distributions\sdist.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\distributions\wheel.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\exceptions.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\index\collector.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\index\package_finder.py",0,6,"","B101:6"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\locations\_distutils.py",0,3,"","B101:3"
