file,flake8_issues,bandit_issues,top_flake8_codes,top_bandit_codes
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\models\direct_url.py",0,2,"","B101:1;B105:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\models\installation_report.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\models\link.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\models\pylock.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\auth.py",0,5,"","B603:2;B101:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\cache.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\download.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\session.py",0,4,"","B404:1;B607:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\network\xmlrpc.py",0,4,"","B411:2;B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\build\wheel.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\freeze.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\install\wheel.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\operations\prepare.py",0,17,"","B101:17"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\__init__.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\constructors.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\req_file.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\req_install.py",0,32,"","B101:32"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\req_set.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\req\req_uninstall.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py",0,8,"","B101:8"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py",0,7,"","B101:7"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py",0,6,"","B101:6"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py",0,6,"","B101:6"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\filesystem.py",0,2,"","B101:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\logging.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\misc.py",0,2,"","B105:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\subprocess.py",0,6,"","B101:4;B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\temp_dir.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\unpacking.py",0,2,"","B202:1;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\utils\urls.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\vcs\git.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\vcs\subversion.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_internal\wheel_builder.py",0,10,"","B101:10"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py",0,8,"","B101:8"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\dependency_groups\_pip_wrapper.py",0,2,"","B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\distlib\compat.py",0,3,"","B411:2;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\distlib\scripts.py",0,1,"","B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\distlib\util.py",0,18,"","B101:15;B404:1;B202:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\distro\distro.py",0,6,"","B603:3;B404:1;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\_manylinux.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\_musllinux.py",0,3,"","B404:1;B603:1;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\_tokenizer.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\licenses\__init__.py",0,3,"","B105:2;B307:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\markers.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\metadata.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\tags.py",0,2,"","B404:1;B603:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\packaging\version.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py",0,2,"","B102:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py",0,1,"","B108:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py",0,1,"","B102:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pygments\lexer.py",0,11,"","B101:11"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pygments\lexers\__init__.py",0,1,"","B102:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pygments\style.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_impl.py",0,3,"","B603:2;B404:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\requests\__init__.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\requests\_internal_utils.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\requests\auth.py",0,3,"","B324:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\resolvelib\resolvers\resolution.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\_emoji_codes.py",0,2,"","B105:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\_pick.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\_ratio.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\_win32_console.py",0,3,"","B101:3"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\color.py",0,15,"","B101:15"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\console.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\live.py",0,3,"","B311:2;B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\logging.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\pretty.py",0,6,"","B101:5;B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\progress.py",0,2,"","B101:1;B311:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\prompt.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\segment.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\style.py",0,7,"","B311:5;B403:1;B301:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\syntax.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\text.py",0,4,"","B101:4"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\rich\traceback.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\securetransport.py",0,5,"","B101:5"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\makefile.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\weakref_finalize.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\urllib3\packages\six.py",0,1,"","B102:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\urllib3\response.py",0,1,"","B101:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\urllib3\util\connection.py",0,1,"","B110:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_.py",0,1,"","B504:1"
".\Altaakhi Workshop\venv\Lib\site-packages\pip\_vendor\urllib3\util\ssltransport.py",0,2,"","B101:2"
".\Altaakhi Workshop\venv\Lib\site-packages\sqlparse\sql.py",0,1,"","B101:1"
".\Altaakhi Workshop\zip_project_for_server.py",0,2,"","B605:1;B607:1"
".\clean_project.py",0,3,"","B110:3"
".\clean_temp_files.py",0,2,"","B110:2"
".\project_full_check.py",0,3,"","B603:2;B404:1"
".\venv\Lib\site-packages\PIL\AvifImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\BlpImagePlugin.py",0,8,"","B101:8"
".\venv\Lib\site-packages\PIL\BmpImagePlugin.py",0,17,"","B101:17"
".\venv\Lib\site-packages\PIL\BufrStubImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\CurImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\DcxImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\DdsImagePlugin.py",0,6,"","B101:6"
".\venv\Lib\site-packages\PIL\EpsImagePlugin.py",0,9,"","B101:4;B603:2;B404:1"
".\venv\Lib\site-packages\PIL\FitsImagePlugin.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\FliImagePlugin.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\FpxImagePlugin.py",0,4,"","B101:4"
".\venv\Lib\site-packages\PIL\FtexImagePlugin.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\GbrImagePlugin.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\GdImageFile.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\GifImagePlugin.py",0,20,"","B101:15;B603:3;B404:1"
".\venv\Lib\site-packages\PIL\GimpGradientFile.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\GribStubImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\Hdf5StubImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\IcnsImagePlugin.py",0,3,"","B101:1;B606:1;B607:1"
".\venv\Lib\site-packages\PIL\IcoImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\ImImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\Image.py",0,17,"","B101:15;B405:1;B110:1"
".\venv\Lib\site-packages\PIL\ImageColor.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\ImageDraw.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\ImageFile.py",0,10,"","B101:10"
".\venv\Lib\site-packages\PIL\ImageFont.py",0,1,"","B110:1"
".\venv\Lib\site-packages\PIL\ImageGrab.py",0,8,"","B603:5;B607:2;B404:1"
".\venv\Lib\site-packages\PIL\ImageMorph.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\ImageOps.py",0,3,"","B101:3"
".\venv\Lib\site-packages\PIL\ImagePalette.py",0,2,"","B101:1;B311:1"
".\venv\Lib\site-packages\PIL\ImageQt.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\ImageShow.py",0,12,"","B603:7;B607:4;B404:1"
".\venv\Lib\site-packages\PIL\ImageText.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\ImageTk.py",0,2,"","B110:2"
".\venv\Lib\site-packages\PIL\ImageWin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\ImtImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\IptcImagePlugin.py",0,4,"","B101:4"
".\venv\Lib\site-packages\PIL\Jpeg2KImagePlugin.py",0,17,"","B101:17"
".\venv\Lib\site-packages\PIL\JpegImagePlugin.py",0,13,"","B101:9;B404:1;B110:1"
".\venv\Lib\site-packages\PIL\McIdasImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\MicImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\MpegImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\MpoImagePlugin.py",0,3,"","B101:3"
".\venv\Lib\site-packages\PIL\MspImagePlugin.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\PcdImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\PcxImagePlugin.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\PdfImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\PdfParser.py",0,23,"","B101:23"
".\venv\Lib\site-packages\PIL\PixarImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\PngImagePlugin.py",0,29,"","B101:28;B110:1"
".\venv\Lib\site-packages\PIL\PpmImagePlugin.py",0,5,"","B101:5"
".\venv\Lib\site-packages\PIL\PsdImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\QoiImagePlugin.py",0,3,"","B101:3"
".\venv\Lib\site-packages\PIL\SgiImagePlugin.py",0,3,"","B101:3"
".\venv\Lib\site-packages\PIL\SpiderImagePlugin.py",0,3,"","B101:3"
".\venv\Lib\site-packages\PIL\SunImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\TgaImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\TiffImagePlugin.py",0,11,"","B101:10;B110:1"
".\venv\Lib\site-packages\PIL\WalImageFile.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\WebPImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\WmfImagePlugin.py",0,2,"","B101:2"
".\venv\Lib\site-packages\PIL\XVThumbImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\XbmImagePlugin.py",0,1,"","B101:1"
".\venv\Lib\site-packages\PIL\XpmImagePlugin.py",0,3,"","B101:3"
".\venv\Lib\site-packages\autoflake.py",0,16,"","B101:16"
".\venv\Lib\site-packages\bandit\plugins\trojansource.py",0,1,"","B613:1"
".\venv\Lib\site-packages\django\apps\config.py",0,2,"","B110:2"
".\venv\Lib\site-packages\django\conf\global_settings.py",0,2,"","B105:2"
".\venv\Lib\site-packages\django\conf\locale\ar\formats.py",0,1,"","B613:1"
".\venv\Lib\site-packages\django\conf\locale\ckb\formats.py",0,1,"","B613:1"
".\venv\Lib\site-packages\django\conf\locale\fa\formats.py",0,1,"","B613:1"
".\venv\Lib\site-packages\django\contrib\admin\helpers.py",0,6,"","B703:3;B308:3"
".\venv\Lib\site-packages\django\contrib\admin\options.py",0,4,"","B703:2;B308:2"
".\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py",0,9,"","B308:5;B703:4"
".\venv\Lib\site-packages\django\contrib\admindocs\utils.py",0,4,"","B703:2;B308:2"
".\venv\Lib\site-packages\django\contrib\auth\forms.py",0,3,"","B107:3"
".\venv\Lib\site-packages\django\contrib\auth\hashers.py",0,9,"","B101:7;B105:1;B324:1"
".\venv\Lib\site-packages\django\contrib\auth\management\commands\createsuperuser.py",0,1,"","B105:1"
".\venv\Lib\site-packages\django\contrib\auth\views.py",0,2,"","B105:2"
".\venv\Lib\site-packages\django\contrib\flatpages\views.py",0,4,"","B703:2;B308:2"
".\venv\Lib\site-packages\django\contrib\gis\db\backends\postgis\operations.py",0,1,"","B608:1"
".\venv\Lib\site-packages\django\contrib\humanize\templatetags\humanize.py",0,2,"","B703:1;B308:1"
".\venv\Lib\site-packages\django\contrib\messages\storage\cookie.py",0,2,"","B703:1;B308:1"
".\venv\Lib\site-packages\django\contrib\sessions\backends\base.py",0,1,"","B110:1"
".\venv\Lib\site-packages\django\contrib\staticfiles\storage.py",0,1,"","B101:1"
".\venv\Lib\site-packages\django\core\cache\backends\db.py",0,13,"","B608:11;B403:1;B301:1"
".\venv\Lib\site-packages\django\core\cache\backends\filebased.py",0,5,"","B301:3;B403:1;B311:1"
".\venv\Lib\site-packages\django\core\cache\backends\locmem.py",0,3,"","B301:2;B403:1"
".\venv\Lib\site-packages\django\core\cache\backends\redis.py",0,3,"","B403:1;B301:1;B311:1"
".\venv\Lib\site-packages\django\core\checks\security\base.py",0,1,"","B105:1"
".\venv\Lib\site-packages\django\core\handlers\asgi.py",0,1,"","B101:1"
".\venv\Lib\site-packages\django\core\management\commands\dbshell.py",0,1,"","B404:1"
".\venv\Lib\site-packages\django\core\management\commands\runserver.py",0,1,"","B104:1"
".\venv\Lib\site-packages\django\core\management\commands\shell.py",0,3,"","B102:3"
".\venv\Lib\site-packages\django\core\management\utils.py",0,4,"","B404:2;B603:2"
".\venv\Lib\site-packages\django\core\serializers\xml_serializer.py",0,4,"","B406:2;B408:1;B319:1"
".\venv\Lib\site-packages\django\db\backends\base\client.py",0,2,"","B404:1;B603:1"
".\venv\Lib\site-packages\django\db\backends\base\operations.py",0,1,"","B608:1"
".\venv\Lib\site-packages\django\db\backends\mysql\base.py",0,1,"","B608:1"
".\venv\Lib\site-packages\django\db\backends\mysql\creation.py",0,3,"","B603:2;B404:1"
".\venv\Lib\site-packages\django\db\backends\mysql\introspection.py",0,1,"","B608:1"
".\venv\Lib\site-packages\django\db\backends\mysql\schema.py",0,1,"","B608:1"
".\venv\Lib\site-packages\django\db\backends\oracle\base.py",0,1,"","B608:1"
".\venv\Lib\site-packages\django\db\backends\oracle\creation.py",0,1,"","B105:1"
".\venv\Lib\site-packages\django\db\backends\oracle\introspection.py",0,1,"","B608:1"
".\venv\Lib\site-packages\django\db\backends\oracle\operations.py",0,2,"","B608:2"
".\venv\Lib\site-packages\django\db\backends\oracle\schema.py",0,2,"","B608:2"
".\venv\Lib\site-packages\django\db\backends\postgresql\introspection.py",0,1,"","B608:1"
".\venv\Lib\site-packages\django\db\backends\postgresql\operations.py",0,2,"","B608:2"
